date,open,high,low,closed,vol,return,SMA_9,SMA_21,RSI
2018-02-23,86690,87345,86138,87293,10934437747,0.0070022841058532,84876.22222222222,84164.71428571429,68.22492372685369
2018-02-26,87296,88318,87242,87653,7430921024,0.0041240420194059,85626.66666666667,84496.85714285714,69.2041541777457
2018-02-27,87649,87839,86613,86935,7087559275,-0.008191391053358,86003.55555555556,84651.85714285714,64.90778377567469
2018-02-28,86939,87109,85199,85354,10079164312,-0.0181860010352562,86121.66666666667,84643.42857142857,56.57840920826574
2018-03-01,85337,86260,84640,85378,8880746316,0.0002811819012582,86216.44444444444,84675.80952380953,56.669311588635416
2018-03-02,85378,85761,83897,85761,8607892552,0.0044859331443698,86324.0,84736.71428571429,58.17413879096327
2018-03-05,85761,86165,85053,86023,6933958594,0.0030550016907451,86348.33333333333,84789.57142857143,59.217540769146616
2018-03-06,86023,86931,85653,85653,8852183222,-0.0043011752670797,86304.0,84797.09523809524,57.05297793322433
2018-03-07,85653,85653,84397,85484,8681680613,-0.0019730774170197,86170.44444444444,84865.80952380953,56.04528417292239
2018-03-08,85510,85830,84491,84985,8837008949,-0.0058373496794721,85914.0,85014.57142857143,53.06500475515985
2018-03-09,84987,86389,84749,86371,8591966149,0.0163087603694769,85771.55555555556,85132.52380952382,59.50603807950793
2018-03-12,86386,87046,86386,86900,6833949664,0.0061247409431406,85767.66666666667,85329.33333333333,61.66823248109211
2018-03-13,86902,87333,86119,86384,7092668106,-0.0059378596087457,85882.11111111111,85560.33333333333,58.39298688065151
2018-03-14,86383,86970,85691,86051,6915093056,-0.003854880533432,85956.88888888889,85805.66666666667,56.31434061437932
2018-03-15,86051,86051,84720,84928,9588157703,-0.013050400343982,85864.33333333333,85871.61904761905,49.867358450765245
2018-03-16,84928,85495,84525,84886,14964021353,-0.0004945365486058,85738.0,85899.95238095238,49.6384772447956
2018-03-19,84886,84886,83678,83913,8643539343,-0.01146243196758,85544.66666666667,85870.80952380953,44.53840147295359
2018-03-20,83919,84412,83682,84164,6450324591,0.0029911932596855,85398.0,85840.85714285714,46.077525288524754
2018-03-21,84166,85145,84080,84977,8800488627,0.009659711990875,85397.11111111111,85801.47619047618,50.83662068230853
2018-03-22,84984,85499,84197,84768,8226103358,-0.0024594890382103,85219.0,85740.33333333333,49.62410406985054
2018-03-23,84766,85450,84042,84377,8193905779,-0.0046125896564741,84938.66666666667,85630.38095238095,47.348821436089516
2018-03-26,84377,85553,84357,85088,5976457864,0.0084264669281912,84794.66666666667,85525.38095238095,51.68678718562891
2018-03-27,85103,85296,83542,83808,7515489111,-0.0150432493418578,84545.44444444444,85342.28571428571,44.56771435527736
2018-03-28,83806,83889,82889,83874,7149057767,0.0007875143184421,84428.33333333333,85196.52380952382,44.98845684770494
2018-03-29,83874,85708,83874,85366,8397578738,0.0177885876433698,84481.66666666667,85197.09523809524,53.568273256744874
2018-04-02,85365,85675,84166,84666,6505478927,-0.0081999859428812,84565.33333333333,85163.19047619047,49.655326743824226
2018-04-03,84669,85411,84210,84623,6790376775,-0.0005078780147874,84616.33333333333,85109.0,49.41653262180917
2018-04-04,84610,84610,82826,84360,7234403352,-0.0031079021069921,84547.77777777778,85029.80952380953,47.89927711037688
2018-04-05,84374,86148,84374,85210,11313040318,0.0100758653390231,84596.88888888889,85008.71428571429,52.92945707080045
2018-04-06,85210,85210,83833,84820,7666908229,-0.0045769275906584,84646.11111111111,84977.09523809524,50.51939472799443
2018-04-09,84832,85110,83155,83307,7683052662,-0.0178377741098797,84448.22222222222,84897.19047619047,42.44489997640019
2018-04-10,83312,84538,83312,84510,8792783270,0.0144405632179769,84526.22222222222,84808.57142857143,49.37351422510221
2018-04-11,84494,85417,84340,85246,8225266150,0.0087090285173352,84678.66666666667,84729.80952380953,53.09390626966101
2018-04-12,85246,85577,85025,85444,7111080323,0.0023226896276657,84687.33333333333,84685.04761904762,54.07173550832933
2018-04-13,85441,85441,84144,84334,8179221434,-0.0129909648424699,84650.44444444444,84603.28571428571,48.02719309224365
2018-04-16,84328,84591,82762,82862,7373846494,-0.0174544074750396,84454.77777777778,84504.90476190476,41.4153311966902
2018-04-17,82862,84191,82810,84086,6596973289,0.0147715478747798,84424.33333333333,84466.80952380953,47.845029082232806
2018-04-18,84090,86149,84090,85776,10776141570,0.0200984706134195,84487.22222222222,84555.52380952382,55.16216601956638
2018-04-19,85775,86059,85197,85824,8718738837,0.0005595970900951,84598.77777777778,84634.57142857143,55.353754606068584
2018-04-20,85823,85823,85025,85550,6988643728,-0.0031925801640566,84848.0,84661.85714285714,53.93696448900667
2018-04-23,85520,85746,84711,85603,6398773667,0.0006195207481005,84969.44444444444,84701.61904761905,54.18125780671662
2018-04-24,85603,86578,85106,85469,7260595356,-0.0015653656998002,84994.22222222222,84753.61904761905,53.410007614134926
2018-04-25,85466,85466,84349,85044,8094684933,-0.004972563151552,84949.77777777778,84751.52380952382,50.93361489764594
2018-04-26,85051,86383,85051,86383,8284353092,0.0157447909317529,85177.44444444444,84874.14285714286,57.60329910526676
2018-04-27,86383,87179,86262,86445,7847845888,0.0007177338133661,85575.55555555556,84996.57142857143,57.88873937747853
2018-04-30,86443,86739,85979,86116,5491416844,-0.0038058881369656,85801.11111111111,85032.28571428571,55.744020548620746
2018-05-02,86111,86111,84383,84547,7849371501,-0.0182196107575828,85664.55555555556,85026.61904761905,46.832783920322925
2018-05-03,84547,84562,83178,83288,8034668829,-0.0148911256460902,85382.77777777778,84963.04761904762,41.148437863942995
2018-05-04,83286,83671,82746,83118,8823106569,-0.002041110364038,85112.55555555556,84903.90476190476,40.43477444820115
2018-05-07,83122,83643,82602,82714,7464318570,-0.0048605596862292,84791.55555555556,84785.04761904762,38.7162697799338
2018-05-08,82715,83409,82201,82956,8284300651,0.0029257441303769,84512.33333333333,84696.28571428571,40.35162826449641
2018-05-09,82977,84447,82855,84265,11691803845,0.0157794493466416,84425.77777777778,84741.90476190476,48.376277497514074
2018-05-10,84284,86201,84284,85861,12035841654,0.0189402480270575,84367.77777777778,84806.23809523809,56.12640141130173
2018-05-11,85861,86406,85183,85220,11087525357,-0.0074655547920475,84231.66666666667,84805.0,52.70413478008881
2018-05-14,85222,86105,84688,85232,7492015165,0.0001408120159587,84133.44444444444,84794.90476190476,52.76220375682464
2018-05-15,85225,85231,83830,85130,7338948508,-0.0011967336211751,84198.22222222222,84832.80952380953,52.175804032069856
2018-05-16,85122,86678,85044,86537,8413388535,0.0165276635733584,84559.22222222222,85007.80952380953,58.95274308213712
2018-05-17,86537,86537,83377,83622,9926025444,-0.0336850133468921,84615.22222222222,84985.71428571429,44.7912701791406
2018-05-18,83614,83614,81391,83082,10213377589,-0.0064576307670229,84656.11111111111,84857.42857142857,42.7429007555966
2018-05-21,83095,83883,81576,81815,8044828420,-0.0152499939818492,84529.33333333333,84666.52380952382,38.315425913288024
2018-05-22,81817,83396,81613,82739,8727657766,0.0112937725355986,84359.77777777778,84532.66666666667,42.95610286863455
2018-05-23,82742,82742,80867,80867,8397611659,-0.0226253640967379,83804.88888888889,84307.14285714286,36.899323812671966
2018-05-24,80860,80860,79027,80122,14191968332,-0.0092126578208663,83238.44444444444,84052.52380952382,34.79657010651577
2018-05-25,80123,80629,78622,78898,10321602620,-0.0152767030278825,82534.66666666667,83759.85714285714,31.609461086808253
2018-05-28,78886,78886,75337,75356,6131944658,-0.0448934066769753,81448.66666666667,83234.76190476191,24.590414141257796
2018-05-29,75361,77214,75361,76072,8522300802,0.0095015659005255,80285.88888888889,82740.80952380953,28.067652318121105
2018-05-30,76058,77097,75515,76754,6302127358,0.0089651908718055,79522.77777777778,82295.0,31.316407048695936
2018-06-01,76779,78169,75524,77240,10406541110,0.0063319175547853,78873.66666666667,81947.04761904762,33.61723736181429
2018-06-04,77244,78637,77244,78596,9032494754,0.0175556706369757,78516.0,81723.61904761905,39.688002109057884
2018-06-05,78595,78892,76412,76642,10046750613,-0.0248613160975113,77838.55555555556,81415.23809523809,34.755560715097445
2018-06-06,76641,76967,75518,76117,10757363355,-0.0068500300096552,77310.77777777778,81101.09523809524,33.5491273159365
2018-06-07,76117,76117,71162,73851,16824667971,-0.0297699594046008,76614.0,80667.52380952382,28.88808458048399
2018-06-08,73848,74031,71679,72942,12585816442,-0.0123085672502741,75952.22222222222,80128.33333333333,27.25241523089835
2018-06-11,72943,73716,71843,72308,7623617426,-0.0086918373502234,75613.55555555556,79482.95238095238,26.14067425737717
2018-06-12,72308,73322,72124,72754,8153218778,0.006168058859324,75244.88888888889,78889.33333333333,28.354867835925035
2018-06-13,72757,72977,71035,72122,8913020533,-0.0086868075982076,74730.22222222222,78265.04761904762,27.114422828634886
2018-06-14,72151,72708,71344,71421,9429324452,-0.0097196417181997,74083.66666666667,77612.23809523809,25.767897593254247
2018-06-15,71421,71421,69583,70758,14102044376,-0.0092829839963035,73212.77777777778,76860.85714285714,24.527264283907016
2018-06-18,70757,70757,69360,69815,7277904163,-0.0133271149551994,72454.22222222222,76203.38095238095,22.84267418308879
2018-06-19,69811,72010,69069,71394,11237696596,0.0226169161355009,71929.44444444444,75646.80952380953,31.34560418401162
2018-06-20,71397,72617,71155,72123,9330897493,0.0102109420959743,71737.44444444444,75185.28571428571,34.91194475320404
2018-06-21,72117,72207,70019,70075,7175655933,-0.0283959347226265,71418.88888888889,74582.23809523809,30.170373715412225
2018-06-22,70077,71058,69907,70641,6041161428,0.0080770602925437,71233.66666666667,74095.28571428571,32.88337195177441
2018-06-25,70642,71323,69779,70953,7084399230,0.0044166985178579,71033.55555555556,73658.66666666667,34.39644540351961
2018-06-26,70968,71622,70203,71405,7271190479,0.0063704142178624,70953.88888888889,73301.85714285714,36.62546155538562
2018-06-27,71405,72032,70134,70609,7487529147,-0.0111476787339822,70863.66666666667,73075.80952380953,34.40824706437485
2018-06-28,70609,72092,70439,71767,7181521841,0.0164001756150065,70975.77777777778,72870.80952380953,40.090259924613555
2018-06-29,71779,73020,71779,72763,8071436222,0.0138782448757786,71303.33333333333,72680.76190476191,44.54031926604736
2018-07-02,72763,72840,71935,72840,5639404512,0.0010582301444415,71464.0,72471.23809523809,44.88118575186836
2018-07-03,72848,74515,72848,73668,6846444571,0.0113673805601317,71635.66666666667,72236.57142857143,48.543624932638934
2018-07-04,73667,74904,73450,74743,4332683851,0.0145924960634196,72154.33333333333,72146.14285714286,52.917744274139004
2018-07-05,74751,75127,73756,74553,7442752252,-0.0025420440710166,72589.0,72071.66666666667,52.07516281912586
2018-07-06,74558,75065,74048,75010,5676900491,0.0061298673426957,73039.77777777778,72126.85714285714,53.97346831654302
2018-07-10,75015,75895,74431,74862,8668387000,-0.0019730702572989,73423.88888888889,72218.28571428571,53.23801098851827
2018-07-11,74862,75025,74196,74399,8183196231,-0.0061847132056317,73845.0,72317.85714285714,50.90127435366416
2018-07-12,74403,75898,74403,75856,8152538830,0.0195835965537172,74299.33333333333,72465.57142857143,57.258924635148176
2018-07-13,75856,76682,75554,76594,7849626138,0.0097289601349925,74725.0,72678.52380952382,60.0786883034445
2018-07-16,76587,76924,76129,76653,6886569065,0.0007702953233934,75148.66666666667,72927.66666666667,60.30416029045504
2018-07-17,76653,78522,76482,78130,8493536940,0.0192686522380076,75644.44444444444,73278.71428571429,65.549739684081
2018-07-18,78124,78496,77164,77363,8138750994,-0.0098169717138103,75935.55555555556,73638.14285714286,61.038925830111
2018-07-19,77360,77487,75890,77487,8658146830,0.0016028333958093,76261.55555555556,73928.28571428571,61.50019399276051
2018-07-20,77500,79489,77500,78571,11036184051,0.0139894433905041,76657.22222222222,74235.33333333333,65.3610176278763
2018-07-23,78571,78639,77871,77996,5500768972,-0.0073182217357549,77005.44444444444,74612.52380952382,61.81964848225943
2018-07-24,78005,79497,78005,79155,7551720686,0.0148597363967382,77533.88888888889,75017.95238095238,65.83756978444328
2018-07-25,79154,80437,79154,80218,8409427571,0.0134293474827869,78018.55555555556,75459.14285714286,69.05417713997446
2018-07-26,80242,80589,79081,79405,9975887262,-0.0101348824453364,78330.88888888889,75840.09523809524,64.08432920755021
2018-07-27,79405,80251,79405,79866,7248687399,0.0058056797430892,78687.88888888889,76280.90476190476,65.59633321325924
2018-07-30,79866,80492,79699,80276,6199700601,0.005133598777953,78926.33333333333,76686.09523809524,66.92977400642349
2018-07-31,80279,80279,79016,79220,7912057352,-0.0131546165728237,79132.66666666667,76993.57142857143,60.4328629901387
2018-08-01,79213,79731,78769,79302,8073042557,0.0010350921484474,79334.33333333333,77301.28571428571,60.75146290218562
2018-08-02,79237,79896,78573,79637,7185536989,0.0042243575193563,79452.77777777778,77585.52380952382,62.094323451302934
2018-08-03,79656,81792,79656,81435,9253814624,0.0225774451574016,79834.88888888889,77904.19047619047,68.35284412352284
2018-08-06,81445,81765,80965,81051,6072049100,-0.004715417203905,80045.55555555556,78213.61904761905,65.85213311251309
2018-08-07,81093,81742,79923,80347,9722426804,-0.0086858891315344,80059.88888888889,78467.76190476191,61.4159048030492
2018-08-08,80347,80912,78966,79152,8865659557,-0.0148729884127596,80031.77777777778,78672.04761904762,54.68198082300219
2018-08-09,79171,79461,78156,78768,8394787343,-0.0048514251061249,79909.77777777778,78880.09523809524,52.68301229634307
2018-08-10,78766,78766,76043,76514,10062553205,-0.0286156814950233,79491.77777777778,78911.42857142857,42.794017493690156
2018-08-13,76513,77689,75931,77496,8299270161,0.0128342525550879,79300.22222222222,78954.38095238095,47.42431355575082
2018-08-14,77499,78742,77499,78602,7845860076,0.0142717043460307,79222.44444444444,79047.19047619047,52.124439602870204
2018-08-15,78614,78618,76829,77078,9946938098,-0.0193888196229103,78938.11111111111,78997.09523809524,46.01950495611432
2018-08-16,77085,77704,76381,76819,7490972877,-0.0033602324917615,78425.22222222222,78971.19047619047,45.053743250891806
2018-08-17,76817,76817,75633,76029,8383684098,-0.0102839141358257,77867.22222222222,78901.76190476191,42.14825172086886
2018-08-20,76029,76497,75608,76328,7847465733,0.0039327098870167,77420.66666666667,78794.95238095238,43.62997047119952
2018-08-21,76327,76340,74915,75180,8843275648,-0.0150403521643434,76979.33333333333,78660.85714285714,39.45192753574877
2018-08-22,75171,76904,74876,76902,7544434300,0.0229050279329607,76772.0,78553.57142857143,47.563379748565794
2018-08-23,76898,77232,75466,75634,8365901995,-0.0164885178538919,76674.22222222222,78335.28571428571,42.99571465225673
2018-08-24,75647,76629,75647,76262,6400350236,0.0083031440886374,76537.11111111111,78185.61904761905,45.77325366263186
2018-08-27,76264,78008,76264,77930,5804522337,0.0218719676903307,76462.44444444444,78093.42857142857,52.40643653588478
2018-08-28,77928,78038,77149,77473,6575831597,-0.0058642371358912,76506.33333333333,77959.95238095238,50.58086233362128
2018-08-29,77472,78783,77399,78389,6897999058,0.0118234739844849,76680.77777777778,77920.38095238095,54.036971511412055
2018-08-30,78389,78389,76372,76404,7889024559,-0.0253224304430468,76722.44444444444,77782.38095238095,46.45511515576996
2018-08-31,76386,77202,76026,76678,9353092315,0.0035861996754096,76761.33333333333,77641.47619047618,47.54910228312491
2018-09-03,76675,76675,75729,76193,3606439647,-0.0063251519340619,76873.88888888889,77391.85714285714,45.76664488832988
2018-09-04,76192,76192,74605,74712,6792904010,-0.0194374811334374,76630.55555555556,77090.0,40.743937928866295
2018-09-05,74712,75370,74276,75092,6476277774,0.005086197665703,76570.33333333333,76839.76190476191,42.48799422993353
2018-09-06,75098,76533,74986,76416,7183537051,0.0176317051084002,76587.44444444444,76709.47619047618,48.20779838076453
2018-09-10,76416,77293,76115,76436,7042588205,0.0002617252931322,76421.44444444444,76598.42857142857,48.29145718207017
2018-09-11,76437,76437,74275,74657,7368699738,-0.0232743733319378,76108.55555555556,76510.0,41.82051812420669
2018-09-12,74680,75680,74499,75125,8046768584,0.0062686687115742,75745.88888888889,76397.09523809524,43.94836264468156
2018-09-13,75126,75407,74501,74687,6883422322,-0.0058302828618967,75555.11111111111,76210.66666666667,42.38591821988468
2018-09-14,74687,75705,74445,75429,7284183529,0.0099347945425576,75416.33333333333,76132.14285714286,45.895153801356166
2018-09-17,75428,76893,75227,76789,7235100222,0.0180302005859815,75482.55555555556,76130.71428571429,51.70190916621771
2018-09-18,76781,78454,76677,78314,9229581759,0.0198596153094843,75882.77777777778,76239.52380952382,57.24328168215791
2018-09-19,78268,79021,77624,78169,8041733934,-0.0018515208008784,76224.66666666667,76327.19047619047,56.57858682265275
2018-09-20,78169,78944,77820,78116,6669743050,-0.0006780181401834,76413.55555555556,76467.0,56.32115519564701
2018-09-21,78116,80002,78116,79444,10862204049,0.0170003584412923,76747.77777777778,76588.04761904762,61.09748564935136
2018-09-24,79447,79447,77857,77984,6119406757,-0.0183777251900709,77117.44444444444,76699.95238095238,54.094035122890055
2018-09-25,77980,78688,77005,78630,8351146130,0.0082837505129256,77506.88888888889,76812.71428571429,56.47156573943123
2018-09-26,78634,79461,78530,78656,8771168148,0.0003306625969732,77947.88888888889,76847.28571428571,56.56906060272365
2018-09-27,78676,80107,78676,80000,10106389882,0.0170870626525629,78455.77777777778,76967.61904761905,61.38395814084286
2018-09-28,80000,80000,78967,79342,8779236441,-0.008225,78739.44444444444,77013.0,57.99408950068023
2018-10-01,79350,79557,78091,78624,6605930725,-0.0090494315747019,78773.88888888889,77118.71428571429,54.45991359126696
2018-10-02,78625,81778,78625,81612,11340738112,0.038003663003663,79156.44444444444,77353.66666666667,64.22939561525897
2018-10-03,81624,85442,81623,83273,13401120105,0.0203523991569867,79729.44444444444,77690.80952380953,68.30043009194762
2018-10-04,83275,83430,81892,82953,11541210694,-0.0038427821742942,80119.33333333333,78083.23809523809,66.72488312772113
2018-10-05,82972,83805,82030,82322,12272051001,-0.0076067170566465,80601.33333333333,78427.52380952382,63.608935792479876
2018-10-08,82324,87333,82324,86084,24595432165,0.0456985981876048,81429.55555555556,78887.90476190476,72.0032321604792
2018-10-09,86053,86573,85433,86088,14782313256,4.6466242275000624e-05,82255.33333333333,79347.52380952382,72.01062495486069
2018-10-10,86084,86085,83679,83679,11913449489,-0.0279829941455255,82664.11111111111,79777.14285714286,61.481201963435645
2018-10-11,83700,84749,82607,82921,12732704385,-0.0090584256504021,83061.77777777778,80148.38095238095,58.57874910210035
2018-10-15,82922,84278,82922,83360,11665915135,0.0052941956802257,83588.0,80561.38095238095,59.76348932981751
2018-10-16,83420,85718,83420,85718,11838941561,0.0282869481765835,84044.22222222222,81051.33333333333,65.4755256899735
2018-10-17,85714,86167,84944,85764,12289181086,0.0005366434121187,84321.0,81478.71428571429,65.57818612920326
2018-10-18,85760,85760,83846,83847,9960608089,-0.0223520358192248,84420.33333333333,81742.19047619047,57.857048668746266
2018-10-19,83845,84954,83667,84220,7748777221,0.0044485789592949,84631.22222222222,82030.33333333333,58.87173925393483
2018-10-22,84222,85772,84222,85597,9047330074,0.0163500356209926,84577.11111111111,82386.57142857143,62.46474450849646
2018-10-23,85595,85595,84032,85300,10806342299,-0.003469747771534,84489.55555555556,82665.42857142857,61.222419607760976
2018-10-24,85302,85786,83035,83064,11147158735,-0.0262133645955451,84421.22222222222,82907.33333333333,52.72112739812083
2018-10-25,83124,84831,83124,84084,13048903003,0.012279687951459,84550.44444444444,83167.04761904762,55.7403522893652
2018-10-26,84084,85720,83497,85720,16170465816,0.019456733742448,84812.66666666667,83503.42857142857,60.13740552597238
2018-10-29,85728,88377,82783,83797,19702001576,-0.0224335044330378,84599.22222222222,83684.23809523809,53.4194949711201
2018-10-30,83802,86990,83802,86886,16752688510,0.0368628948530376,84723.88888888889,84043.47619047618,60.96323418171946
2018-10-31,86889,88028,86213,87424,14887983202,0.0061920217296227,85121.33333333333,84462.52380952382,62.114059986515315
2018-11-01,87428,89017,87094,88419,15238719991,0.0113813140556369,85587.88888888889,84786.66666666667,64.21522216990692
2018-11-05,88418,89598,88347,89598,11987072819,0.013334238116242,86032.44444444444,85087.85714285714,66.58037133621517
2018-11-06,89587,89587,88066,88669,11892738086,-0.0103685350119422,86406.77777777778,85360.04761904762,63.04451885283526
2018-11-07,88676,89565,87541,87714,11685126484,-0.0107703932603276,86923.44444444444,85616.80952380953,59.54380320032929
2018-11-08,87719,88570,85620,85620,13085396111,-0.0238730419317326,87094.11111111111,85594.71428571429,52.641475917376106
