date,open,high,low,closed,vol,return
2019-04-04,94503,96394,94334,96313,10206978157,0.01928225968610775
2019-04-05,96319,97493,96152,97108,9121446935,0.008254337420701363
2019-04-08,97110,97610,96743,97369,9024107613,0.002687729126333638
2019-04-09,97366,97366,95488,96292,9551786569,-0.01106101531288195
2019-04-10,96292,96902,95670,95953,11326011235,-0.0035205416857059246
2019-04-11,95954,95954,94173,94755,8833366754,-0.012485279251300163
2019-04-12,94747,94768,92516,92875,17169433808,-0.019840641654793933
2019-04-15,92875,93723,92697,93083,12059670595,0.0022395693135934813
2019-04-16,93082,95062,92879,94333,11466482722,0.013428875304835497
2019-04-17,94337,95042,92338,93285,16608702286,-0.011109579892508492
2019-04-18,93285,95140,93285,94578,12401363750,0.013860749316610299
2019-04-22,94578,95038,93721,94588,7817068375,0.00010573283427439684
2019-04-23,94590,96315,94590,95923,10385057185,0.014113841079206768
2019-04-24,95923,95923,94163,95045,11420277484,-0.009153174942401754
2019-04-25,95027,96552,94213,96552,12409014085,0.015855647324951372
2019-04-26,96552,96563,95620,96236,9501574530,-0.0032728477918634313
2019-04-29,96254,97123,96004,96188,8312089464,-0.000498773847624645
2019-04-30,96191,96707,95613,96353,10478440301,0.0017153906932256824
2019-05-02,96339,96339,95312,95528,9725595572,-0.008562265835002525
2019-05-03,95521,96315,95521,96008,9652121812,0.0050247047985931825
2019-05-06,95992,95992,94540,95009,7649819280,-0.010405382884759562
2019-05-07,95009,95009,92750,94389,12050824709,-0.006525697565493815
2019-05-08,94389,96312,94389,95597,12253860909,0.01279810147368865
2019-05-09,95597,95597,93883,94808,10715734982,-0.008253397073129887
2019-05-10,94809,94848,93234,94258,10512831426,-0.005801198211121461
2019-05-13,94252,94252,91600,91727,10810990955,-0.026851832205223913
2019-05-14,91736,92529,91562,92092,9879210486,0.003979199145289769
2019-05-15,92088,92088,90295,91623,11325861961,-0.005092733353602941
2019-05-16,91622,91622,89778,90024,14139120384,-0.017451949837922753
2019-05-17,90023,91321,89409,89993,13284496778,-0.0003443526170798794
2019-05-20,90006,92117,89822,91946,11409927808,0.021701687909059686
2019-05-21,91946,94573,91946,94485,13798119481,0.02761403432449483
2019-05-22,94485,95212,93883,94361,11103251810,-0.001312377626078165
2019-05-23,94360,94547,93300,93910,10022252792,-0.004779516961456509
2019-05-24,93912,94900,93545,93628,9424987895,-0.0030028750931743176
2019-05-27,93626,95444,93626,94864,6725539419,0.01320117913444685
2019-05-28,94863,96552,94707,96393,17842028021,0.016117810760667872
2019-05-29,96389,96986,95690,96567,11661091804,0.0018051103295881887
2019-05-30,96566,97939,96511,97457,10954062165,0.009216398976876095
2019-05-31,97420,97992,96792,97030,13223187671,-0.004381419497829775
2019-06-03,97036,97757,96430,97020,11428782096,-0.00010306090899725451
2019-06-04,97020,97723,96593,97380,11185334819,0.0037105751391466324
2019-06-05,97381,97686,95686,95999,9865430062,-0.014181556787841498
2019-06-06,96002,97462,96002,97205,10229801084,0.012562630860738055
2019-06-07,97205,98326,97205,97821,9404521425,0.006337122575999166
2019-06-10,97828,97856,96782,97467,8973145694,-0.0036188548471187687
2019-06-11,97467,98985,97467,98960,13757608366,0.015318005068382101
2019-06-12,98960,99240,97831,98321,12344013827,-0.006457154405820509
2019-06-13,98321,99364,98321,98774,14587007052,0.004607357532978806
2019-06-14,98776,98981,97601,98040,14010972277,-0.007431105351610734
2019-06-17,98038,98439,97623,97623,10448679663,-0.004253365973072243
2019-06-18,97633,99412,97633,99404,12060860732,0.01824365159849628
2019-06-19,99403,100327,98978,100303,12095425830,0.009043901653857045
2019-06-21,100305,102100,100305,102013,14937057297,0.017048343519137088
2019-06-24,102018,102617,101589,102062,9308313679,0.0004803309382137577
2019-06-25,102061,102061,99890,100093,11787244034,-0.01929219494033041
2019-06-26,100095,101126,100095,100689,13153777750,0.005954462350014511
2019-06-27,100689,101025,99421,100724,11489652933,0.0003476050015394083
2019-06-28,100726,101563,100726,100967,10837896465,0.00241253325920332
2019-07-01,100973,102432,100973,101340,10877638564,0.0036942763477174623
2019-07-02,101342,101565,100073,100605,13293304810,-0.007252812314979318
2019-07-03,100576,102177,100451,102043,11712278925,0.014293524178718764
2019-07-04,102047,104022,102047,103636,10225761278,0.015611065923189171
2019-07-05,103628,104176,102622,104089,11692204328,0.004371067968659492
2019-07-08,104090,104679,103988,104530,9200189051,0.004236758927456341
2019-07-10,104537,106650,104537,105817,17499044728,0.012312254855065596
2019-07-11,105818,105886,104814,105146,12962386891,-0.006341136112344881
2019-07-12,105158,105731,103903,103906,12885798502,-0.011793125748958633
2019-07-15,103909,104578,103495,103803,10150885111,-0.0009912805805246672
2019-07-16,103805,104440,103361,103775,11574598712,-0.0002697417223008758
2019-07-17,103775,104453,103712,103856,10727474667,0.000780534810888911
2019-07-18,103859,104773,103859,104717,11187852245,0.008290325065475335
2019-07-19,104716,104723,103388,103452,0,-0.012080178003571529
2019-07-22,103452,104278,103452,103949,9210418238,0.004804160383559575
2019-07-23,103949,104430,103518,103704,11731813020,-0.002356925030543855
2019-07-24,103707,104570,103707,104120,12665300035,0.004011417110236781
2019-07-25,104119,104440,102390,102655,15067627186,-0.014070303495966163
2019-07-26,102654,103209,102196,102819,13917095290,0.0015975841410549307
2019-07-29,102817,103483,102461,103483,9559323730,0.006457950378821131
2019-07-30,103483,103555,102596,102933,11475509773,-0.005314882637727947
2019-07-31,102946,103129,100950,101812,14526211134,-0.01089057930887083
2019-08-01,101819,104056,101819,102126,20133944606,0.0030841158213177344
2019-08-02,102122,103180,101667,102674,13856923252,0.00536592052954199
2019-08-05,102658,102658,99630,100098,13695794294,-0.025089117011122597
2019-08-06,100098,102178,100098,102164,13784204399,0.020639773022437913
2019-08-07,102163,102784,100476,102782,15076538152,0.006049097529462477
2019-08-08,102782,104282,102782,104115,15018688397,0.012969196941098549
2019-08-09,104102,104848,103547,103996,12905594180,-0.0011429669115881058
2019-08-12,103946,103946,101621,101915,11661525449,-0.02001038501480823
2019-08-13,101912,103778,101414,103299,13608109915,0.013579944071039574
2019-08-14,103270,103270,99955,100258,15948571971,-0.029438813541273423
2019-08-15,100262,101014,98200,99057,15122356648,-0.01197909393764085
2019-08-16,99059,100567,99059,99806,12752567602,0.007561303088120974
2019-08-19,99810,100948,98908,99469,12056889424,-0.003376550507985465
2019-08-20,99472,99665,98002,99222,11408540641,-0.0024831857161528026
2019-08-21,99227,101240,99221,101202,14242069332,0.01995525185946656
2019-08-22,101209,101469,100011,100011,11224380517,-0.011768542123673398
2019-08-23,100007,100025,97085,97667,14044095155,-0.02343742188359277
2019-08-26,97687,98436,95961,96430,10016062237,-0.012665485783324937
2019-08-27,96434,97951,95855,97276,11737404014,0.008773203359950132
2019-08-28,97273,98346,96557,98194,9998267041,0.009437065668818523
2019-08-29,98194,100684,98194,100524,12458548337,0.02372853738517633
2019-08-30,100526,101551,100526,101135,15819043484,0.006078150491424905
2019-09-02,101133,101611,100626,100626,7044981700,-0.005032876847777756
2019-09-03,100626,101417,99406,99681,10912790972,-0.009391211019020962
2019-09-04,99706,101201,99706,101201,11081464945,0.015248643171717813
2019-09-05,101204,103258,101204,102243,12953534424,0.010296340945247673
2019-09-06,102247,103182,102246,102935,10593316250,0.006768189509306355
2019-09-09,102937,104260,102793,103181,14747150549,0.0023898576771748115
2019-09-10,103180,103503,102231,103032,13594914914,-0.0014440643141663267
2019-09-11,103036,104156,103036,103446,12879795422,0.00401816911250874
2019-09-12,103453,104618,103453,104371,13175155684,0.00894186338766123
2019-09-13,104371,104699,103275,103501,11132052233,-0.008335648791330974
2019-09-16,103496,104005,102782,103680,16282370375,0.0017294518893538058
2019-09-17,103680,104619,103079,104617,12495141116,0.00903742283950626
2019-09-18,104616,104762,103684,104532,10104737196,-0.0008124874542377869
2019-09-19,104555,106001,104286,104339,12537143963,-0.0018463245704664066
2019-09-20,104339,105045,103914,104817,18399056899,0.004581220828261623
2019-09-23,104817,104817,104020,104638,8349193944,-0.001707738248566515
2019-09-24,104638,104893,103504,103876,10433475065,-0.00728224927846477
2019-09-25,103857,104481,103034,104481,10484581356,0.0058242519927607095
2019-09-26,104485,105342,104337,105319,10560001027,0.00802059704635294
2019-09-27,105319,105633,104506,105078,9223658765,-0.002288286064242917
2019-09-30,105077,105178,104638,104745,9893554921,-0.0031690744018728623
2019-10-01,104745,105121,103837,104053,10202393891,-0.006606520597641885
2019-10-02,104049,104049,100944,101031,12800868952,-0.029042891603317522
2019-10-03,101031,101560,99826,101516,11823582281,0.0048005067751482056
2019-10-04,101516,102580,101057,102551,12269936295,0.010195437172465516
2019-10-07,102546,102546,100542,100573,10161144663,-0.019287964037405736
2019-10-08,100565,101296,99868,99981,10925888834,-0.005886271663368858
2019-10-09,100005,101567,100005,101249,9538331604,0.01268240965783507
2019-10-10,101244,102483,101152,101817,10608428777,0.0056099319499451905
2019-10-11,101819,104381,101819,103832,11930955752,0.019790408281524785
2019-10-14,103834,104305,103438,104302,7898066166,0.004526542876954975
2019-10-15,104299,105048,104052,104490,11393626542,0.0018024582462465855
2019-10-16,104486,105462,103521,105423,12691436780,0.008929084122882625
2019-10-17,105389,105891,104827,105016,11447378663,-0.0038606376217713567
2019-10-18,105012,105464,104525,104729,12449146420,-0.0027329168888550193
2019-10-21,104729,106027,104696,106022,9491075123,0.01234615054091992
2019-10-22,106023,107421,105927,107381,14228005686,0.0128180943577747
2019-10-23,107381,107959,107041,107544,13138536737,0.0015179594155390053
2019-10-24,107553,107744,106593,106986,15175015568,-0.005188573979022504
2019-10-25,106990,108083,106990,107364,14049232435,0.00353317256463459
2019-10-28,107366,108393,107362,108187,11140463722,0.007665511717149132
2019-10-29,108189,108195,107313,107556,11343221881,-0.005832493737694899
2019-10-30,107557,108408,106622,108408,14896119227,0.007921454870021272
2019-10-31,108403,108403,106356,107220,15144759135,-0.01095860084126632
2019-11-01,107221,108496,107220,108196,15961680153,0.00910277933221404
2019-11-04,108196,109352,108196,108779,14773922729,0.005388369255795
2019-11-05,108779,109343,108253,108719,16253890019,-0.0005515770507175111
2019-11-06,108719,109633,107446,108360,15404666198,-0.003302090710915251
2019-11-07,108360,109672,108360,109581,15768469086,0.01126799557032121
2019-11-08,109572,109572,107127,107629,15274512364,-0.017813307051404936
2019-11-11,107622,108367,106814,108367,11038337024,0.0068568880134536325
2019-11-12,108368,108368,106232,106751,14149314726,-0.014912288796404827
2019-11-13,106751,106786,105261,106060,13673280571,-0.006473007278620324
2019-11-14,106052,106758,105820,106557,13160985180,0.004686026777295904
2019-11-18,106566,107519,106246,106269,13543346147,-0.002702778794448024
2019-11-19,106269,106950,105367,105864,10079959625,-0.0038110831945346035
2019-11-21,105866,107497,105864,107497,15088251968,0.015425451522708356
2019-11-22,107497,108692,107157,108692,12517596826,0.011116589300166568
2019-11-25,108692,108915,108080,108424,11736394984,-0.0024656828469437064
2019-11-26,108424,108424,106414,107059,19372803097,-0.012589463587397653
2019-11-27,107059,107991,106312,107708,11677186229,0.006062077919651854
2019-11-28,107708,108333,107148,108290,9491209764,0.0054034983473836284
2019-11-29,108290,108708,107759,108233,10643390178,-0.000526364391910561
2019-12-02,108233,109279,108233,108928,12221657380,0.006421331756488291
2019-12-03,108931,109198,108190,108956,12971688420,0.0002570505287895486
2019-12-04,108962,110301,108962,110301,13082560778,0.012344432615000622
2019-12-05,110297,111073,110008,110622,11638960010,0.0029102184023717115
2019-12-06,110623,111430,110623,111126,12991531048,0.004556055757444222
2019-12-09,111125,111453,110870,110977,13944530923,-0.0013408203300757648
2019-12-10,110973,111184,110133,110672,13020595909,-0.002748317218883245
2019-12-11,110672,111227,110530,110964,14612325063,0.0026384270637560547
2019-12-12,110963,112445,110963,112200,15315330674,0.01113874770195733
2019-12-13,112205,112829,111780,112565,0,0.0032531194295899457
2019-12-16,112565,113197,111896,111896,16497335090,-0.005943232798827358
2019-12-17,111897,112695,111897,112616,14964529702,0.006434546364481264
2019-12-18,112618,114339,112300,114315,22741326356,0.015086666193080855
2019-12-19,114313,115132,113712,115131,16042424581,0.007138170843721259
2019-12-20,115133,115171,114526,115121,19529134657,-8.685757962667573e-05
2019-12-23,115119,115863,114964,115863,0,0.006445392239469827
2019-12-26,115864,117220,115673,117203,10553557375,0.01156538325436074
2019-12-27,117205,117803,115995,116534,10900985546,-0.0057080450159125995
2019-12-30,116530,117085,115599,115645,0,-0.007628674893164211
2020-01-02,115652,118573,115649,118573,0,0.025318863764105748
2020-01-03,118564,118792,117341,117707,0,-0.007303517664223769
2020-01-06,117707,117707,116269,116878,21063594150,-0.007042911636521154
2020-01-07,116872,117076,115965,116662,0,-0.0018480809048752045
2020-01-08,116667,117335,115693,116247,17813435563,-0.0035572851485488055
2020-01-09,116248,116820,115411,115947,17978977765,-0.0025807117603035
2020-01-10,115948,116745,114952,115503,14350887615,-0.0038293358172268865
2020-01-13,115503,117333,115503,117325,16709187828,0.015774482048085403
2020-01-14,117325,117705,116610,117632,15731513691,0.002616663115277973
2020-01-15,117632,117632,116188,116414,16551267195,-0.010354325353645222
2020-01-16,116415,117106,115961,116704,14679286477,0.0024911093167487852
2020-01-17,116710,118479,116710,118478,14964700033,0.015200850013709966
2020-01-20,118478,118862,117928,118862,11057071302,0.0032411080538159442
